OrderID,ProductName,CategoryName,Company_Name,UnitPrice,Quantity,Discount,Purchase
10248,Mozzarella di Giovanni,Dairy Products,Vins et alcools Chevalier,34.8,5,0,174.00
10248,Queso Cabrales,Dairy Products,Vins et alcools Chevalier,14,12,0,168.00
10248,Singaporean Hokkien Fried Mee,Grains/Cereals,Vins et alcools Chevalier,9.8,10,0,98.00
10249,Manjimup Dried Apples,Produce,Toms Spezialitäten,42.4,40,0,1696.00
10249,Tofu,Produce,Toms Spezialitäten,18.6,9,0,167.40
10250,Jack's New England Clam Chowder,Seafood,Hanari Carnes,7.7,10,0,77.00
10250,Louisiana Fiery Hot Pepper Sauce,Condiments,Hanari Carnes,16.8,15,0.15,214.20
10250,Manjimup Dried Apples,Produce,Hanari Carnes,42.4,35,0.15,1261.40
10251,Gustaf's Knäckebröd,Grains/Cereals,Victuailles en stock,16.8,6,0.05,95.76
10251,Louisiana Fiery Hot Pepper Sauce,Condiments,Victuailles en stock,16.8,20,0,336.00
10251,Ravioli Angelo,Grains/Cereals,Victuailles en stock,15.6,15,0.05,222.30
10252,Camembert Pierrot,Dairy Products,Suprêmes délices,27.2,40,0,1088.00
10252,Geitost,Dairy Products,Suprêmes délices,2,25,0.05,47.50
10252,Sir Rodney's Marmalade,Confections,Suprêmes délices,64.8,40,0.05,2462.40
10253,Chartreuse verte,Beverages,Hanari Carnes,14.4,42,0,604.80
10253,Gorgonzola Telino,Dairy Products,Hanari Carnes,10,20,0,200.00
10253,Maxilaku,Confections,Hanari Carnes,16,40,0,640.00
10254,Guaraná Fantástica,Beverages,Chop-suey Chinese,3.6,15,0.15,45.90
10254,Longlife Tofu,Produce,Chop-suey Chinese,8,21,0,168.00
10254,Pâté chinois,Meat/Poultry,Chop-suey Chinese,19.2,21,0.15,342.72
10255,Chang,Beverages,Richter Supermarkt,15.2,20,0,304.00
10255,Inlagd Sill,Seafood,Richter Supermarkt,15.2,25,0,380.00
10255,Pavlova,Confections,Richter Supermarkt,13.9,35,0,486.50
10255,Raclette Courdavault,Dairy Products,Richter Supermarkt,44,30,0,1320.00
10256,Original Frankfurter grüne Soße,Condiments,Wellington Importadora,10.4,12,0,124.80
10256,Perth Pasties,Meat/Poultry,Wellington Importadora,26.2,15,0,393.00
10257,Chartreuse verte,Beverages,HILARION-Abastos,14.4,6,0,86.40
