OrderID,ProductName,CategoryName,Discontinued,UnitsInStock,ProductPrice,UnitPrice,Quantity,Discount,Sales
10248,Mozzarella di Giovanni,Dairy Products,0,14,34.8,34.8,5,0,174.00
10248,Queso Cabrales,Dairy Products,0,22,21,14,12,0,168.00
10248,Singaporean Hokkien Fried Mee,Grains/Cereals,1,26,14,9.8,10,0,98.00
10249,Manjimup Dried Apples,Produce,0,20,53,42.4,40,0,1696.00
10249,Tofu,Produce,0,35,23.25,18.6,9,0,167.40
10250,Jack's New England Clam Chowder,Seafood,0,85,9.65,7.7,10,0,77.00
10250,Louisiana Fiery Hot Pepper Sauce,Condiments,0,76,21.05,16.8,15,0.15,214.20
10250,Manjimup Dried Apples,Produce,0,20,53,42.4,35,0.15,1261.40
10251,Gustaf's Knäckebröd,Grains/Cereals,0,104,21,16.8,6,0.05,95.76
10251,Louisiana Fiery Hot Pepper Sauce,Condiments,0,76,21.05,16.8,20,0,336.00
10251,Ravioli Angelo,Grains/Cereals,0,36,19.5,15.6,15,0.05,222.30
10252,Camembert Pierrot,Dairy Products,0,19,34,27.2,40,0,1088.00
10252,Geitost,Dairy Products,0,112,2.5,2,25,0.05,47.50
10252,Sir Rodney's Marmalade,Confections,0,40,81,64.8,40,0.05,2462.40
10253,Chartreuse verte,Beverages,0,69,18,14.4,42,0,604.80
10253,Gorgonzola Telino,Dairy Products,0,0,12.5,10,20,0,200.00
10253,Maxilaku,Confections,0,10,20,16,40,0,640.00
10254,Guaraná Fantástica,Beverages,1,20,4.5,3.6,15,0.15,45.90
10254,Longlife Tofu,Produce,0,4,10,8,21,0,168.00
10254,Pâté chinois,Meat/Poultry,0,115,24,19.2,21,0.15,342.72
10255,Chang,Beverages,0,17,19,15.2,20,0,304.00
10255,Inlagd Sill,Seafood,0,112,19,15.2,25,0,380.00
10255,Pavlova,Confections,0,29,17.45,13.9,35,0,486.50
10255,Raclette Courdavault,Dairy Products,0,79,55,44,30,0,1320.00
