OrderID,OrderDate,CustomerID,ShipCity,ShipCountry,ProductID,ProductName,CategoryName,UnitPrice,DealUnitPrice,Quantity,Discount,TotalSales,TotalSales_AfterDiscount
10248,1996-07-04 00:00:00.000,VINET,Reims,France,11,Queso Cabrales,Dairy Products,21,14,12,0,168,168
10248,1996-07-04 00:00:00.000,VINET,Reims,France,42,Singaporean Hokkien Fried Mee,Grains/Cereals,14,"9,8",10,0,98,98
10248,1996-07-04 00:00:00.000,VINET,Reims,France,72,Mozzarella di Giovanni,Dairy Products,"34,8","34,8",5,0,174,174
10249,1996-07-05 00:00:00.000,TOMSP,Münster,Germany,14,Tofu,Produce,"23,25","18,6",9,0,"167,4","167,4"
10249,1996-07-05 00:00:00.000,TOMSP,Münster,Germany,51,Manjimup Dried Apples,Produce,53,"42,4",40,0,1696,1696
10250,1996-07-08 00:00:00.000,HANAR,Rio de Janeiro,Brazil,41,Jack's New England Clam Chowder,Seafood,"9,65","7,7",10,0,77,77
10250,1996-07-08 00:00:00.000,HANAR,Rio de Janeiro,Brazil,51,Manjimup Dried Apples,Produce,53,"42,4",35,"0,15",1484,"1261,4"
10250,1996-07-08 00:00:00.000,HANAR,Rio de Janeiro,Brazil,65,Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05","16,8",15,"0,15",252,"214,2"
10251,1996-07-08 00:00:00.000,VICTE,Lyon,France,22,Gustaf's Knäckebröd,Grains/Cereals,21,"16,8",6,"0,05","100,8","95,76"
10251,1996-07-08 00:00:00.000,VICTE,Lyon,France,57,Ravioli Angelo,Grains/Cereals,"19,5","15,6",15,"0,05",234,"222,3"
10251,1996-07-08 00:00:00.000,VICTE,Lyon,France,65,Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05","16,8",20,0,336,336
10252,1996-07-09 00:00:00.000,SUPRD,Charleroi,Belgium,20,Sir Rodney's Marmalade,Confections,81,"64,8",40,"0,05",2592,"2462,4"
10252,1996-07-09 00:00:00.000,SUPRD,Charleroi,Belgium,33,Geitost,Dairy Products,"2,5",2,25,"0,05",50,"47,5"
10252,1996-07-09 00:00:00.000,SUPRD,Charleroi,Belgium,60,Camembert Pierrot,Dairy Products,34,"27,2",40,0,1088,1088
10253,1996-07-10 00:00:00.000,HANAR,Rio de Janeiro,Brazil,31,Gorgonzola Telino,Dairy Products,"12,5",10,20,0,200,200
10253,1996-07-10 00:00:00.000,HANAR,Rio de Janeiro,Brazil,39,Chartreuse verte,Beverages,18,"14,4",42,0,"604,8","604,8"
10253,1996-07-10 00:00:00.000,HANAR,Rio de Janeiro,Brazil,49,Maxilaku,Confections,20,16,40,0,640,640
10254,1996-07-11 00:00:00.000,CHOPS,Bern,Switzerland,24,Guaraná Fantástica,Beverages,"4,5","3,6",15,"0,15",54,"45,9"
